x,y,z
0.00,-9999.00,1000.00
0.00,-9949.00,1000.00
0.00,-9899.00,1000.00
0.00,-9849.00,1000.00
0.00,-9799.00,1000.00
0.00,-9749.00,1000.00
0.00,-9699.00,1000.00
0.00,-9649.00,1000.00
0.00,-9599.00,1000.00
0.00,-9549.00,1000.00
0.00,-9499.00,1000.00
0.00,-9449.00,1000.00
0.00,-9399.00,1000.00
0.00,-9349.00,1000.00
0.00,-9299.00,1000.00
0.00,-9249.00,1000.00
-4.19,-9199.30,1000.00
-25.37,-9154.42,1000.00
-60.84,-9119.32,1000.00
-97.54,-9085.40,1000.00
-130.01,-9047.39,1000.00
-163.93,-9010.66,1000.00
-197.33,-8973.46,1000.00
-230.86,-8936.37,1000.00
-264.39,-8899.28,1000.00
-297.93,-8862.19,1000.00
-331.46,-8825.10,1000.00
-364.99,-8788.01,1000.00
-398.54,-8750.94,1000.00
-432.07,-8713.85,1000.00
-465.61,-8676.76,1000.00
-499.15,-8639.68,1000.00
-532.69,-8602.60,1000.00
-566.22,-8565.51,1000.00
-599.76,-8528.42,1000.00
-633.30,-8491.34,1000.00
-666.84,-8454.26,1000.00
-700.37,-8417.16,1000.00
-733.91,-8380.08,1000.00
-767.46,-8343.00,1000.00
-800.99,-8305.92,1000.00
-834.52,-8268.82,1000.00
-868.07,-8231.74,1000.00
-901.61,-8194.66,1000.00
-935.14,-8157.58,1000.00
-968.68,-8120.49,1000.00
-1002.22,-8083.41,1000.00
-1035.76,-8046.33,1000.00
-1069.29,-8009.24,1000.00
-1102.83,-7972.16,1000.00
-1136.37,-7935.08,1000.00
-1169.91,-7898.00,1000.00
-1203.44,-7860.91,1000.00
-1236.98,-7823.83,1000.00
-1270.53,-7786.75,1000.00
-1304.06,-7749.67,1000.00
-1337.59,-7712.58,1000.00
-1371.14,-7675.50,1000.00
-1404.68,-7638.42,1000.00
-1438.21,-7601.33,1000.00
-1471.75,-7564.25,1000.00
-1505.29,-7527.17,1000.00
-1538.83,-7490.09,1000.00
-1572.36,-7453.00,1000.00
-1605.90,-7415.92,1000.00
-1639.45,-7378.84,1000.00
-1672.98,-7341.76,1000.00
-1706.51,-7304.67,1000.00
-1740.06,-7267.59,1000.00
-1773.60,-7230.51,1000.00
